state,jurisdiction_id,taxyear,filing_status_id,minagi,maxagi,taxrate,base_tax
Alabama,7,2015,1,0,500,2,0
Alabama,7,2015,1,500,3000,4,10
Alabama,7,2015,1,3000,999999,5,110
Alabama,7,2015,2,0,1000,2,0
Alabama,7,2015,2,1000,6000,4,20
Alabama,7,2015,2,6000,999999,5,220
Alabama,7,2015,3,0,500,2,0
Alabama,7,2015,3,500,3000,4,10
Alabama,7,2015,3,3000,999999,5,110
Alabama,7,2015,4,0,500,2,0
Alabama,7,2015,4,500,3000,4,10
Alabama,7,2015,4,3000,999999,5,110
,,,,,,,
Alaska,8,2015,1,0,999999,0,0
Alaska,8,2015,2,0,999999,0,0
Alaska,8,2015,3,0,999999,0,0
Alaska,8,2015,4,0,999999,0,0
,,,,,,,
Arizona,9,2015,1,0,10000,2.59,0
Arizona,9,2015,1,10000,25000,2.88,259
Arizona,9,2015,1,25000,50000,3.36,691
Arizona,9,2015,1,50000,150000,4.24,1531
Arizona,9,2015,1,150000,999999,4.54,5771
Arizona,9,2015,2,0,20000,2.59,0
Arizona,9,2015,2,20000,50000,2.88,518
Arizona,9,2015,2,50000,100000,3.36,1382
Arizona,9,2015,2,100000,300000,4.24,3062
Arizona,9,2015,2,300000,999999,4.54,11542
Arizona,9,2015,3,0,10000,2.59,0
Arizona,9,2015,3,10000,25000,2.88,259
Arizona,9,2015,3,25000,50000,3.36,691
Arizona,9,2015,3,50000,150000,4.24,1531
Arizona,9,2015,3,150000,999999,4.54,5771
Arizona,9,2015,4,0,10000,2.59,0
Arizona,9,2015,4,10000,25000,2.88,259
Arizona,9,2015,4,25000,50000,3.36,691
Arizona,9,2015,4,50000,150000,4.24,1531
Arizona,9,2015,4,150000,999999,4.54,5771
,,,,,,,
Arkansas,10,2015,1,0,4299,0.9,0
Arkansas,10,2015,1,4299,8399,2.5,38.691
Arkansas,10,2015,1,8399,12599,3.5,141.191
Arkansas,10,2015,1,12599,20999,4.5,288.191
Arkansas,10,2015,1,20999,35099,6,666.191
Arkansas,10,2015,1,35099,999999,7,1512.191
Arkansas,10,2015,2,0,4299,0.9,0
Arkansas,10,2015,2,4299,8399,2.5,38.691
Arkansas,10,2015,2,8399,12599,3.5,141.191
Arkansas,10,2015,2,12599,20999,4.5,288.191
Arkansas,10,2015,2,20999,35099,6,666.191
